Address,Weekly Rent,Bedrooms,Bathrooms,Parking,Property Type,Listing Agent,Agency,URL,Scraped At
"4/117 Aranui Rd, Mount Wellington, Auckland City, Auckland",570,2,1,1,Unit,Sharon Lu,"Uno Property Management Ltd, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-wellington/listing/5446428875?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:40:31.492978
"17/22 Sussex Street, Mount Cook, Wellington, Wellington",480,3,1,0,Apartment,myRent.co.nz,myRent.co.nz Ltd,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/mount-cook/listing/5446476321?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:40:34.177089
"4 Matipo Place, Edgecumbe, Whakatane, Bay Of Plenty",490,3,1,0,House,Jodie Skinner,"Property Brokers, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/bay-of-plenty/whakatane/edgecumbe/listing/5446472218?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:40:39.067122
"311 Parliament Street, City Centre, Auckland City, Auckland",450,0,1,0,Apartment,Hugo Brun,"One Place Limited, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/5445385733?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:40:39.747296
"2/366A Glenfield Road, Glenfield, North Shore City, Auckland",650,2,1,2,House,myRent.co.nz,myRent.co.nz Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/glenfield/listing/5446493291?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:40:40.849105
"22 Lyndfield Lane, Newlands, Wellington, Wellington",650,3,1,2,House,Nicholas White,"First National Collective, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/newlands/listing/5446428478?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:40:45.851709
"3/74 West Coast Rd, Glen Eden, Waitakere City, Auckland",555,2,1,2,House,Rishabh Gandhi,MOG Limited,https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/glen-eden/listing/5446404875?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:40:47.789210
"394 Wallace Terrace , Te Awamutu, Waipa, Waikato",710,3,2,0,Townhouse,Darryl Hunter,"Property Brokers, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/waikato/waipa/te-awamutu/listing/5446395143?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:40:47.904833
"26/16 Alma Road, Gonville, Whanganui, Manawatu / Whanganui",475,2,1,1,Unit,Rachael Cole,Inspire Property Management,https://www.trademe.co.nz/a/property/residential/rent/manawatu-whanganui/whanganui/gonville/listing/5446444967?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:40:51.721259
"97A Shelly Beach Rd, Saint Marys Bay, Auckland City, Auckland",2250,5,4,4,House,Scott Davison,AKL Rentals,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/saint-marys-bay/listing/5445573399?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:40:55.158076
